
2025/02/04 (16:43:05) | ===> btop++ v.1.4.0
2025/02/04 (16:43:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/04 (17:55:50) | ===> btop++ v.1.4.0
2025/02/04 (17:55:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/04 (17:56:13) | ===> btop++ v.1.4.0
2025/02/04 (17:56:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/05 (15:06:33) | ===> btop++ v.1.4.0
2025/02/05 (15:06:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/05 (15:07:09) | ===> btop++ v.1.4.0
2025/02/05 (15:07:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/05 (15:15:43) | ===> btop++ v.1.4.0
2025/02/05 (15:15:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/05 (15:16:00) | ===> btop++ v.1.4.0
2025/02/05 (15:16:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/05 (16:05:23) | ===> btop++ v.1.4.0
2025/02/05 (16:05:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/05 (17:05:25) | ===> btop++ v.1.4.0
2025/02/05 (17:05:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/05 (17:10:29) | ===> btop++ v.1.4.0
2025/02/05 (17:10:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/06 (23:32:41) | ===> btop++ v.1.4.0
2025/02/06 (23:32:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/07 (10:37:45) | ===> btop++ v.1.4.0
2025/02/07 (10:37:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/07 (14:20:47) | ===> btop++ v.1.4.0
2025/02/07 (14:20:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/10 (20:10:56) | ===> btop++ v.1.4.0
2025/02/10 (20:10:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/14 (08:36:09) | ===> btop++ v.1.4.0
2025/02/14 (08:36:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/16 (12:43:43) | ===> btop++ v.1.4.0
2025/02/16 (12:43:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/20 (18:27:18) | ===> btop++ v.1.4.0
2025/02/20 (18:27:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/23 (15:01:19) | ===> btop++ v.1.4.0
2025/02/23 (15:01:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/24 (17:22:12) | ===> btop++ v.1.4.0
2025/02/24 (17:22:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/24 (17:22:44) | ===> btop++ v.1.4.0
2025/02/24 (17:22:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/02/25 (23:16:49) | ===> btop++ v.1.4.0
